x,y,dt
527.8,1916.7,0.0018
2194.4,305.6,0.0000
2972.2,416.7,0.0000
527.8,1083.3,0.0015
1527.8,805.6,0.0374
527.8,750.0,0.0000
2805.6,416.7,0.0200
2972.2,1972.2,0.9000
361.1,194.4,0.0000
27.8,1638.9,0.0000
2638.9,83.3,0.0363
194.4,1861.1,0.9000
472.2,1361.1,0.0836
2472.2,1694.4,0.9000
1750.0,361.1,0.0097
1750.0,583.3,0.0244
527.8,138.9,0.4690
27.8,83.3,0.0000
2083.3,861.1,0.0730
861.1,361.1,0.0024
1250.0,861.1,0.0258
1694.4,305.6,0.0074
2861.1,1750.0,0.0000
2416.7,472.2,0.9000
2138.9,250.0,0.0000
1638.9,1750.0,0.0092
2416.7,916.7,0.0000
1861.1,194.4,0.0052
2194.4,972.2,0.0016
861.1,1361.1,0.2628
2416.7,694.4,0.0659
1527.8,1305.6,0.0269
750.0,361.1,0.0046
2805.6,1250.0,0.0000
2527.8,1861.1,0.1463
583.3,1472.2,0.9000
1305.6,694.4,0.0210
2694.4,1861.1,0.0000
1694.4,972.2,0.9000
1805.6,83.3,0.0465
1527.8,1416.7,0.0186
694.4,694.4,0.0004
1861.1,916.7,0.9000
1250.0,972.2,0.0472
1361.1,1250.0,0.0387
138.9,694.4,0.0000
1138.9,1416.7,0.0287
916.7,83.3,0.2710
1972.2,1583.3,0.0020
2750.0,694.4,0.0000
1527.8,138.9,0.0256
1527.8,527.8,0.0162
194.4,138.9,0.0000
2361.1,1750.0,0.0560
1861.1,1916.7,0.1449
1027.8,916.7,0.0153
2527.8,1472.2,0.9000
361.1,916.7,0.0000
2250.0,361.1,0.0090
416.7,1916.7,0.0215
527.8,805.6,0.0000
1416.7,138.9,0.0326
1138.9,1472.2,0.0190
2527.8,1027.8,0.0908
916.7,916.7,0.0070
472.2,138.9,0.1452
2361.1,416.7,0.0230
1361.1,805.6,0.0283
2972.2,1805.6,0.0000
361.1,1305.6,0.0000
2083.3,250.0,0.0000
305.6,1583.3,0.0925
2583.3,305.6,0.0376
2305.6,583.3,0.9000
694.4,972.2,0.0000
1583.3,1027.8,0.2108
2138.9,694.4,0.9000
1805.6,472.2,0.0151
1638.9,27.8,0.6796
2916.7,861.1,0.0000
972.2,1527.8,0.0120
2472.2,583.3,0.1938
2472.2,1916.7,0.1388
1138.9,1361.1,0.0360
2861.1,1916.7,0.0000
2750.0,1305.6,0.0000
2527.8,638.9,0.0757
2527.8,1638.9,0.9000
250.0,138.9,0.0000
861.1,194.4,0.0482
1916.7,1472.2,0.0052
1861.1,527.8,0.0185
472.2,1583.3,0.9000
1416.7,83.3,0.0939
805.6,305.6,0.0106
361.1,750.0,0.0000
916.7,472.2,0.0014
1194.4,1138.9,0.9000
805.6,1416.7,0.0871
2416.7,416.7,0.9000
2805.6,1972.2,0.9000
1750.0,1527.8,0.0094
527.8,916.7,0.0000
1583.3,638.9,0.0260
2138.9,1361.1,0.0019
916.7,694.4,0.0032
583.3,750.0,0.0000
583.3,638.9,0.0000
1250.0,1416.7,0.0250
1305.6,250.0,0.0089
1750.0,83.3,0.0543
27.8,1027.8,0.0000
1972.2,972.2,0.0207
194.4,527.8,0.0000
2250.0,83.3,0.0000
1250.0,250.0,0.0089
472.2,805.6,0.6594
2194.4,27.8,0.6490
2694.4,638.9,0.0000
2083.3,527.8,0.0165
638.9,416.7,0.0016
2250.0,1861.1,0.1422
916.7,1250.0,0.9000
1861.1,1583.3,0.0042
583.3,1194.4,0.0003
83.3,1250.0,0.0000
1194.4,1083.3,0.9000
2805.6,861.1,0.0000
2416.7,305.6,0.0233
1583.3,750.0,0.0364
916.7,972.2,0.0080
583.3,1027.8,0.0000
916.7,250.0,0.0173
750.0,1027.8,0.0000
27.8,638.9,0.0000
1472.2,305.6,0.0072
2527.8,250.0,0.9000
1861.1,1027.8,0.0260
1750.0,1250.0,0.0218
416.7,1805.6,0.9000
2750.0,805.6,0.0000
1472.2,1361.1,0.0231
1416.7,472.2,0.0123
2083.3,194.4,0.0000
972.2,1361.1,0.0281
1138.9,361.1,0.0035
2916.7,83.3,0.4375
2027.8,1083.3,0.0111
2638.9,305.6,0.6593
2027.8,527.8,0.0179
2083.3,1250.0,0.0042
1361.1,861.1,0.0325
